Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Abacavir,Ziagen,Epzicom,Triumeq,Trizivir,,,HIV-1 infection (in combination therapy),"Nausea, headache, fatigue","Hypersensitivity reaction, liver toxicity","Lamivudine, Tenofovir, Emtricitabine"
Abaloparatide,Tymlos,,,,,,Osteoporosis in postmenopausal women at high fracture risk,"Dizziness, nausea, headache","Orthostatic hypotension, hypercalcemia",Teriparatide
Abametapir,Xeglyze,,,,,,Head lice infestation,"Skin irritation, burning, redness",Allergic skin reactions,"Permethrin, Ivermectin"
Abatacept,Orencia,,,,,,"Rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis","Headache, nausea, upper respiratory infection","Serious infections, malignancy","Adalimumab, Etanercept, Infliximab"
Abciximab,ReoPro,,,,,,Adjunct to PCI in patients with cardiac ischemia,"Bleeding, nausea","Thrombocytopenia, allergic reaction","Eptifibatide, Tirofiban"
Acalabrutinib,Calquence,,,,,,"Mantle cell lymphoma, chronic lymphocytic leukemia","Headache, diarrhea, fatigue","Atrial fibrillation, bleeding","Ibrutinib, Zanubrutinib"
Acarbose,Precose,,,,,,Type 2 diabetes mellitus (postprandial glucose control),"Flatulence, diarrhea, abdominal pain",Hepatotoxicity,"Miglitol, Metformin"
Acebutolol,Sectral,,,,,,"Hypertension, cardiac arrhythmias","Fatigue, dizziness, bradycardia","Heart block, bronchospasm","Atenolol, Metoprolol, Bisoprolol"
AcetaZOLAMIDE,Diamox,,,,,,"Glaucoma, altitude sickness, epilepsy, edema","Paresthesia, frequent urination, nausea","Blood dyscrasias, Stevens-Johnson syndrome","Methazolamide, Dorzolamide"
Acetylcysteine,Mucomyst,Acetadote,Cetylev,,,,"Acetaminophen overdose, mucolytic therapy in lung diseases","Nausea, vomiting, rash","Bronchospasm, anaphylactoid reactions","Carbocysteine, Dornase alfa"
