Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Beclomethasone,Qvar,Beconase AQ,,,Asthma maintenance; allergic rhinitis (via nasal spray),"Hoarseness, oral thrush (inhaled); nasal irritation","Adrenal suppression, growth retardation","Fluticasone, Budesonide"
Belatacept,Nulojix,,,,Prevention of kidney transplant rejection,"Hypertension, diarrhea, anemia","Post-transplant lymphoproliferative disorder, infections","Basiliximab, Tacrolimus"
Belimumab,Benlysta,,,,Systemic lupus erythematosus,"Nausea, diarrhea, fever","Depression, infusion reactions","Rituximab, Hydroxychloroquine"
Belinostat,Beleodaq,,,,Treatment of relapsed or refractory peripheral T-cell lymphoma,"Nausea, fatigue, fever","Cardiac toxicity, myelosuppression","Vorinostat, Romidepsin"
Bempedoic acid,Nexletol,,,,Lowering LDL cholesterol in patients with hypercholesterolemia,"Abdominal pain, muscle pain, elevated liver enzymes","Tendon rupture, gout","Statins, PCSK9 inhibitors"
Benazepril,Lotensin,,,,Hypertension,"Cough, headache, dizziness","Angioedema, hyperkalemia","Lisinopril, Enalapril"
Bendamustine,Treanda,,,,"Chronic lymphocytic leukemia, non-Hodgkin's lymphoma","Nausea, vomiting, fatigue","Myelosuppression, secondary malignancies","Fludarabine, Rituximab"
Benzocaine,Orajel,Anbesol,,,"Topical analgesic for oral pain (e.g., teething pain)","Temporary numbness, local irritation",Methemoglobinemia,"Lidocaine, Pramoxine"
Benzoic acid,–,,,,Topical antiseptic (occasionally in acne preparations),Skin irritation,Allergic reaction,Salicylic acid
Benzonatate,Tessalon Perles,,,,Cough suppressant,"Drowsiness, dizziness, headache","Hypersensitivity, mental confusion","Dextromethorphan, Codeine"
Benztropine,Cogentin,,,,Parkinson's disease; control of extrapyramidal symptoms,"Dry mouth, blurred vision, constipation","Tachycardia, confusion","Trihexyphenidyl, Diphenhydramine"
Bepotastine,Bepreve,,,,Allergic conjunctivitis,"Headache, blurred vision","Dry eyes, nasopharyngitis","Ketotifen, Olopatadine"
Besifloxacin,Besivance,,,,Bacterial conjunctivitis (ophthalmic),"Eye irritation, blurred vision",Corneal deposits,"Moxifloxacin, Ciprofloxacin (ophthalmic)"
Beta-carotene,–,,,,Nutritional supplement; antioxidant,Orange discoloration of skin (carotenodermia),(Rarely) Hypervitaminosis A (with excessive intake),Vitamin A supplements
Betamethasone,Celestone,Diprosone,,,Inflammatory and autoimmune conditions; topical use for skin disorders; injectable for arthritis,"Skin thinning (topical), weight gain (systemic)","Adrenal suppression, osteoporosis","Dexamethasone, Prednisone"
