Generic_Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (Common),Side Effects (Rare),Similar Drugs,Prescription or OTC
Belatacept,Nulojix,,,,,,Prevention of kidney transplant rejection,"Hypertension, diarrhea, anemia","Post-transplant lymphoproliferative disorder, infections","Basiliximab, Tacrolimus",Prescription
Belimumab,Benlysta,,,,,,Systemic lupus erythematosus,"Nausea, diarrhea, fever","Depression, infusion reactions","Rituximab, Hydroxychloroquine",Prescription
Belinostat,Beleodaq,,,,,,Treatment of relapsed or refractory peripheral T-cell lymphoma,"Nausea, fatigue, fever","Cardiac toxicity, myelosuppression","Vorinostat, Romidepsin",Prescription
Bempedoic acid,Nexletol,,,,,,Lowering LDL cholesterol in patients with hypercholesterolemia,"Abdominal pain, muscle pain, elevated liver enzymes","Tendon rupture, gout","Statins, PCSK9 inhibitors",Prescription
Benazepril,Lotensin,,,,,,Hypertension,"Cough, headache, dizziness","Angioedema, hyperkalemia","Lisinopril, Enalapril",Prescription
Bendamustine,Treanda,,,,,,"Chronic lymphocytic leukemia, non-Hodgkin's lymphoma","Nausea, vomiting, fatigue","Myelosuppression, secondary malignancies","Fludarabine, Rituximab",Prescription
Benzoic acid,–,,,,,,Topical antiseptic (occasionally in acne preparations),Skin irritation,Allergic reaction,Salicylic acid,OTC
Benzonatate,Tessalon Perles,,,,,,Cough suppressant,"Drowsiness, dizziness, headache","Hypersensitivity, mental confusion","Dextromethorphan, Codeine",OTC
Benztropine,Cogentin,,,,,,Parkinson's disease; control of extrapyramidal symptoms,"Dry mouth, blurred vision, constipation","Tachycardia, confusion","Trihexyphenidyl, Diphenhydramine",Prescription
Bepotastine,Bepreve,,,,,,Allergic conjunctivitis,"Headache, blurred vision","Dry eyes, nasopharyngitis","Ketotifen, Olopatadine",Prescription
Besifloxacin,Besivance,,,,,,Bacterial conjunctivitis (ophthalmic),"Eye irritation, blurred vision",Corneal deposits,"Moxifloxacin, Ciprofloxacin (ophthalmic)",Prescription
Beta-carotene,–,,,,,,Nutritional supplement; antioxidant,Orange discoloration of skin (carotenodermia),(Rarely) Hypervitaminosis A (with excessive intake),Vitamin A supplements,OTC
Bethanechol,Urecholine,,,,,,Urinary retention; neurogenic bladder,"Abdominal cramps, sweating, flushing","Hypotension, diarrhea",Carbachol,Prescription
Bevacizumab,Avastin,,,,,,Various cancers; wet age-related macular degeneration,"Hypertension, proteinuria","GI perforation, hemorrhage","Ranibizumab, Aflibercept",Prescription
Bexarotene,Targretin,,,,,,Cutaneous T-cell lymphoma,"Hypertriglyceridemia, hypothyroidism","Leukopenia, pancreatitis",Vorinostat,Prescription
Bicalutamide,Casodex,,,,,,Prostate cancer,"Hot flashes, gynecomastia","Hepatotoxicity, interstitial lung disease","Flutamide, Enzalutamide",Prescription
Bimatoprost,Lumigan,,,,,,Glaucoma; ocular hypertension,"Eye redness, irritation","Iris pigmentation changes, increased eyelash growth","Latanoprost, Travoprost",Prescription
Bisacodyl,Dulcolax,,,,,,Constipation,"Abdominal cramps, diarrhea",Electrolyte imbalance,"Senna, Polyethylene glycol",OTC
Bisoprolol,Zebeta,,,,,,Hypertension; heart failure,"Fatigue, bradycardia","Hypotension, worsening heart failure","Metoprolol, Carvedilol",Prescription
Bivalirudin,Angiomax,,,,,,Anticoagulation during PCI,"Bleeding, anemia",Thrombocytopenia,"Heparin, Argatroban",Prescription
Bleomycin,Blenoxane,,,,,,"Chemotherapy (Hodgkin’s lymphoma, testicular cancer)","Fever, rash","Pulmonary fibrosis, skin changes","Cisplatin, Etoposide (combinations)",Prescription
Blinatumomab,Blincyto,,,,,,Acute lymphoblastic leukemia,"Fever, chills, hypotension","Cytokine release syndrome, neurotoxicity",Inotuzumab ozogamicin,Prescription
Bortezomib,Velcade,,,,,,Multiple myeloma; mantle cell lymphoma,"Peripheral neuropathy, fatigue","Herpes zoster reactivation, thrombocytopenia","Carfilzomib, Ixazomib",Prescription
Bosentan,Tracleer,,,,,,Pulmonary arterial hypertension,"Elevated liver enzymes, edema","Hepatotoxicity, anemia","Ambrisentan, Macitentan",Prescription
Bosutinib,Bosulif,,,,,,Chronic myelogenous leukemia,"Diarrhea, nausea, vomiting","Liver toxicity, rash","Imatinib, Dasatinib",Prescription
Brentuximab vedotin,Adcetris,,,,,,Hodgkin’s lymphoma; systemic anaplastic large cell lymphoma,"Peripheral neuropathy, neutropenia",Progressive multifocal leukoencephalopathy (PML),Polatuzumab vedotin,Prescription
